Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,,308.766666666667,312.888888888889,316.677777777778,320.105555555556,323.277777777778,326.077777777778,327.722222222222,328.161111111111,328.066666666667,327.5,326.561111111111,322.483333333333,323.883333333333,324.161111111111,323.861111111111,324.266666666667,325.444444444444,326.533333333333,328.838888888889,332.827777777778,336.461111111111,340.422222222222,345.711111111111,349.45,342.933333333333,332.95,328.661111111111,329.616666666667,335.794444444444,348.627777777778,366.088888888889,383.361111111111,409.361111111111,431.083333333333,443.361111111111,461.227777777778,479.45,491.394444444444,498.105555555556,503.266666666667,507.994444444444,511.522222222222,517.377777777778,528.544444444444,542.416666666667,552.25,556.388888888889,560.65,564.466666666667,565.766666666667,569.95,578.388888888889,587.083333333333,593.372222222222,599.477777777778,604.038888888889
Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,,12.0360166751227,12.3638096910293,12.7039637532132,13.0607638248876,13.4329605607623,13.8158249081468,14.2145029690541,14.6313733757768,15.0603067561359,15.5016687831597,15.9557026379744,16.415767619072,16.9022721932297,17.4126557479122,17.9289362195754,18.4596806503626,18.9894753407758,19.5657410611332,20.1876498418917,20.8022371401755,21.4557408997936,22.1568840944491,22.8619681212798,23.5662342735586,24.2866024775452,25.0231189719045,25.7843511593151,26.5442947932109,27.305069190799,28.0991087474811,28.8827576739734,29.661491241108,27.7414556761445,28.4890858686785,29.2384182309521,30.0221550195394,30.8017560579786,31.6102044415815,32.4502751850645,33.3035106646153,34.1768746149742,35.0798625833507,36.010765348288,36.5295746590212,37.5135919528181,38.5286306361067,39.5795390720338,40.6724831497104,41.8010527779488,42.9574912715677,44.1254633537399,37.6965165566856,38.7469753050245,39.809154639038,40.8918114438629,41.9804907421639
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,14.127045674072,14.4188491789706,14.7256136638916,15.0473268632231,15.3872222988823,15.7404519877957,16.1077518666728,16.4925287091977,16.8919077625991,17.3100409364795,17.7355641414838,18.1741042270365,18.6406620363982,19.1176839458473,19.5850451527835,20.0233828557411,20.4540668169204,20.8690814589945,20.936735507413,20.1912070895236,18.302716833019,16.8519969949251,16.7394661392454,17.1568633764163,17.5196663753584,17.5092743357405,17.4598193888659,17.6675375251062,18.205369271576,18.4684237155605,18.7646673719393,20.3593425632062,22.9108933965012,24.9157413795747,26.1653649786118,27.2346656854177,28.2907731935054,29.3761341857934,30.49198135627,30.8638471091486,31.099929472732,32.77696058139,34.8543443263879,36.1232295355933,37.4171181945019,38.9802584977692,39.7250233813225,40.6031951918802,42.1110666482682,43.3652070588596,44.9959492816951,46.8546892967205,48.4839765113534,50.2775447311531,51.8709105683578,53.2030296061205
Africa Western and Central,AFW,Population density (people per sq. km of land area),EN.POP.DNST,,11.0214770664715,11.2589239248423,11.5059143897473,11.759627395104,12.0216091605889,12.2921511775721,12.5696001140763,12.8576691965361,13.1632200234785,13.4847910481088,13.8145904861285,14.1573238726679,14.5188240196848,14.9017721292302,15.3064845707059,15.7225760520375,16.1556732531634,16.613378724665,17.0904229375466,17.5813508619489,18.0889729796657,18.6199231022643,19.1321627322354,19.6393956076756,20.1822823460221,20.7431010924431,21.3187202209207,21.9126299777355,22.5282707516654,23.1357927121818,23.7553627216227,24.4191588785047,25.086537479355,25.7624380650425,26.4765993645656,27.2092314869475,27.9601480469346,28.7414193137574,29.5355163402161,30.3580377811532,31.2198040412214,32.1095196876334,33.02587394343,33.9727377849119,34.9507725149186,35.9529143976528,36.9834635598036,38.0457445350208,39.125749797143,40.2343930539987,41.3866190643593,42.5517015669185,43.7268663398845,44.9333546692491,46.1581148336572,47.4030252780855
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.25249298147108,4.29478623566215,4.33810860672175,4.38292051014679,4.42927809416861,4.47692788962862,4.52539263656052,4.57423518087752,4.62315312424801,4.69462420790888,4.80556830031283,4.95248415817759,5.12435068581054,5.3046980027272,5.48884815914013,5.67471244084383,5.86975936472287,6.07743161947541,6.29438277051416,6.52432180957728,6.76634876072832,7.01985080612818,7.2856204379562,7.56069383171573,7.84400417101147,8.13303120237427,8.42051656372824,8.71203256597417,9.01464827143659,9.32570786877356,9.64428411005053,9.96527793374509,10.2888706184327,10.6278687735622,10.9888329189059,11.3667867169327,11.759375150397,12.1595973369696,12.5669647870378,12.9901892997513,13.4332301275367,13.8988521697281,14.392967032967,14.9197264779017,15.4737795780861,16.0546073634395,16.6668492821048,17.3086187535093,17.9792837089917,18.6851888986925,19.4259661506377,20.1952306088073,20.9879040667362,21.7861305847437,22.5858650838213,23.4082537900056
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,,60.5766423357664,62.456897810219,64.3292335766423,66.2093065693431,68.0580656934307,69.8749270072993,71.7371532846715,73.8055474452555,75.9742700729927,77.9371897810219,79.8486496350365,81.8659124087591,83.8230656934307,85.7709489051095,87.7675547445255,89.7272262773723,91.7352554744526,93.6593430656934,95.5413138686131,97.5181386861314,99.491094890511,101.61598540146,103.794160583942,106.001058394161,108.20299270073,110.315145985401,112.540328467153,114.683795620438,117.808138686131,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.900766423358,114.179927007299,113.459051094891,112.738211678832,111.685145985401,111.350729927007,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.02901459854,104.405401459854,102.806642335766,101.232372262774,99.6822262773723,98.155802919708
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,,21.8787234042553,23.5872340425532,25.3510638297872,27.1574468085106,29.0085106382979,31.1191489361702,33.6957446808511,36.5446808510638,39.4787234042553,42.5042553191489,45.6212765957447,48.8446808510638,52.1765957446809,55.5957446808511,59.0914893617021,62.6297872340426,66.163829787234,69.6489361702128,72.9914893617021,76.131914893617,79.0829787234043,82.4765957446808,86.3085106382979,89.9425531914894,93.2446808510638,97.3063829787234,101.389361702128,105.140425531915,107.702127659574,111.908510638298,120.568085106383,128.085106382979,134.621276595745,137.472340425532,135.982978723404,136.136170212766,137.659574468085,139.110638297872,139.808510638298,139.755319148936,140.110638297872,141.502127659574,147.842553191489,158.13829787234,164.725531914894,169.329787234043,174.206382978723,177.648936170213,178.485106382979,171.714893617021,165.495744680851,163.476595744681,159.987234042553,156.887234042553,153.56170212766,153.576595744681
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,,8.36029483818674,8.58253033189322,8.81482274276306,9.05435482741191,9.30038393652378,9.55930073479026,9.83420327319304,10.1208372498799,10.4182038620435,10.7222454176517,11.0321170018008,11.3511740650197,11.6894397543623,12.0407576545264,12.415730675095,12.8178786695031,13.2259813192415,13.6682728384391,14.1565019739821,14.655211188981,15.1321108769408,15.6087174737088,16.1074025685398,16.6201269361664,17.1389585125101,17.6682251321291,18.2035703900819,18.7149091386154,19.2221778090717,19.8643640183701,20.3287904643631,20.855592010667,21.44343238813,22.0397877037383,22.6028301005987,23.1614720432176,23.7254078637482,24.3065173912776,24.8953185685534,25.5039700746683,26.1298611508539,26.7627925444071,27.3972610847768,28.0421467594687,28.7157314954512,29.4185278894372,30.1680454274111,30.9456223002043,31.7272353692493,32.3666218189319,33.1221072734311,29.0844280794096,29.8423825738577,30.550772641086,31.3110035717644,32.0451442075354
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,,1.94295972965362,2.04091805125317,2.14321317938609,2.24854970430865,2.35290059138271,2.44967614756407,2.53027316248944,2.80788510278795,3.37454238242749,4.03458180794143,4.71736130667418,5.4212052942833,6.14473387778091,6.88660940580118,7.64370599831034,8.67172627428893,10.0001267248662,11.3950154885948,12.8415939172064,14.301605181639,15.4865530836384,16.4231202478175,17.3937623204731,18.3891298225852,19.4017319065052,20.6615460433681,22.1662067023374,23.6804843705998,25.2020698394818,26.7279639538158,28.2543790481554,29.7765418192059,31.2882709096029,32.7821458744016,34.2813573641228,36.5751056040552,39.6706561531963,42.81077161363,45.9871726274289,49.1914249507181,52.4301605181639,55.7142495071811,59.0320613911574,62.3622500704027,65.6827654181921,70.5308363841172,79.1979019994368,88.7449169248099,94.439003097719,96.7310335116868,100.035736412278,104.075584342439,108.322036046184,113.481272880879,119.75833568009,125.8109687412
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,,7.57348329551392,7.70000913512309,7.82759647603492,7.95466530736035,8.0800635073757,8.20476305317738,8.33088840899042,8.45933700930686,8.59019874373787,8.72525824992966,8.86370323273736,9.00515878670949,9.15193354015252,9.3037030134944,9.45452608808451,9.60367560812514,9.75697101242742,9.91422411745576,10.0738099675155,10.2355750925388,10.4008707599326,10.5690677424188,10.739737420022,10.9121212121212,11.085084901834,11.258849193734,11.4341638987244,11.6127628631668,11.7919632841133,11.9691674979629,12.1425130358206,12.3117806547325,12.4795709415389,12.647940029744,12.8147579740489,12.9769148131502,13.1354998191246,13.2908221245373,13.4449579601636,13.5981729753827,13.7482962995443,13.8961113608045,14.0404218234436,14.1835268152403,14.3300077831249,14.4781158991336,14.6223222213696,14.7711827061158,14.9285563947689,15.0870920710786,15.2485886234831,15.4061004351973,15.5598387102668,15.7212073709481,15.8867142423877,16.0413905118958
